"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5511","TC_CO_01 - Succesfull Checkout 2 Items","","2026-03-04","passed","2026-03-04","","Data Driven - CheckOut Feature","",""
"","162","should verify page TITLE","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","5. Assertions - Validasi Element","",""
"","564","Should clear field and retype username","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","3. Type Text - Mengetik di Input Field","",""
"","974","should visit the inventory page (after login)","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","1. Visit Page","",""
"","700","SHould visit the page","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","1. Visit Page","",""
"","455","Should type password into password field","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","3. Type Text - Mengetik di Input Field","",""
"","424","get element by Tag -> input","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","Basic Selector & Actions - Sauce Demo","",""
"","1004","should visit the card page (after login)","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","1. Visit Page","",""
"","160","should verify URL contains specific path","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","5. Assertions - Validasi Element","",""
"","452","Should type username into username field","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","3. Type Text - Mengetik di Input Field","",""
"","2871","should wait after clicking login","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","6. Wait - Menunggu","",""
"","143","should verify element EXISTS","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","5. Assertions - Validasi Element","",""
"","159","get element by Combined selector -> input#user-name","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","Basic Selector & Actions - Sauce Demo","",""
"","524","get element by ID -> #user-name","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","Basic Selector & Actions - Sauce Demo","",""
"","2213","TC01 - Berhasil login dengan kredensial valid","","2026-03-04","passed","2026-03-04","","Data Driven Testing - Login Page","",""
"","2140","should wait 2 seconds before checking the page","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","6. Wait - Menunggu","",""
"","1159","TC02 - Gagal login dengan kredensial tidak valid","","2026-03-04","passed","2026-03-04","","Data Driven Testing - Login Page","",""
"","155","get element by Text -> cy.contains","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","Basic Selector & Actions - Sauce Demo","",""
"","1385","TC03 - Field Login Wajib Terisi","","2026-03-04","passed","2026-03-04","","Data Driven Testing - Login Page","",""
"","148","should verify element HAS ATTRIBUTE","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","5. Assertions - Validasi Element","",""
"","2816","should wait between actions","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","6. Wait - Menunggu","",""
"","153","should verify element count (HAVE LENGTH)","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","5. Assertions - Validasi Element","",""
"","151","should verify element IS VISIBLE","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","5. Assertions - Validasi Element","",""
"","606","Should clear field and retype password","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","3. Type Text - Mengetik di Input Field","",""
"","842","should click login button to login","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","4. Click - Klik Element","",""
"","1278","get element by Attribute -> input[type=""password""]","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","Basic Selector & Actions - Sauce Demo","",""
"","203","get element by Class -> .login_container","Basic Selector & Actions - Sauce Dem0","2026-03-04","passed","2026-03-04","","Basic Selector & Actions - Sauce Demo","",""
